Day,Sold Units,Restocked Units,Available Units
0,0,2000,2000
1,192,0,1808
2,190,0,1618
3,115,0,1503
4,173,0,1330
5,154,0,1176
6,193,0,983
7,0,1017,2000
8,145,0,1855
9,87,0,1768
10,122,0,1646
11,173,0,1473
12,160,0,1313
13,129,0,1184
14,0,816,2000
15,173,0,1827
16,183,0,1644
17,125,0,1519
18,139,0,1380
19,75,0,1305
20,180,0,1125
21,0,875,2000
22,112,0,1888
23,31,0,1857
24,112,0,1745
25,28,0,1717
26,186,0,1531
27,164,0,1367
28,0,633,2000
29,152,0,1848
30,175,0,1673
31,33,0,1640
32,111,0,1529
33,142,0,1387
34,169,0,1218
35,0,782,2000
36,97,0,1903
37,169,0,1734
38,186,0,1548
39,137,0,1411
40,179,0,1232
41,38,0,1194
42,0,806,2000
43,75,0,1925
44,0,0,1925
45,145,0,1780
46,90,0,1690
47,197,0,1493
48,175,0,1318
49,0,682,2000
